date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:14	105208/105208	---MCZ	200	added ('OK')	text/html	etag:cacheable:1ac9bd97b457c4f927af54cc2b46e796	https://www.memobottle.eu.com/pages/the-memobottle-story	C:/Users/alvar/Desktop/prueba/www.memobottle.eu.com/pages/the-memobottle-story.html	(from )
10:05:15	370/370	---MCZ	200	added ('OK')	text/plain	etag:cacheable:eb05212882af27ee6ecf44c38ed53ec5	https://www.memobottle.eu.com/robots.txt		(from )
10:05:17	458/458	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2023:54:13%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/files/favicon-01_32x32.png?v=1519357413	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/files/favicon-01_32x3256ce.png	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:17	33660/33660	---MC-	200	added ('OK')	application/javascript	date:Mon,%2001%20Apr%202019%2008:05:17%20GMT	https://conditional-redirect.spicegems.com/js/scripttags/memobottle-eu/static/country-redirect.js?shop=memobottle-eu	C:/Users/alvar/Desktop/prueba/conditional-redirect.spicegems.com/js/scripttags/memobottle-eu/static/country-redirect8a0a.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:18	142767/142767	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202019%2022:06:57%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/plugins.css?151	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/pluginsa8f1.css	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:19	113342/113342	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Mar%202019%2022:09:33%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scss.css?151	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/timber.scssa8f1.css	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:19	51907/51907	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Mar%202019%2019:06:08%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:20	5975/5975	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:13%20GMT	http://cdn.shopify.com/s/assets/shop_events_listener-acf771159f9849ef6e5265782c99efe8b99406214c96a4373224ecafe285d7bb.js	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/assets/shop_events_listener-acf771159f9849ef6e5265782c99efe8b99406214c96a4373224ecafe285d7bb.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:20	392/392	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Feb%202019%2006:09:14%20GMT	http://cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-99e991855b3d8ddc69e625c68ab0579dd9927b611c2ec4943d396c72e3af0849.js	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/assets/themes_support/ga_urchin_forms-99e991855b3d8ddc69e625c68ab0579dd9927b611c2ec4943d396c72e3af0849.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
10:05:21	3540/3540	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Feb%202018%2001:21:20%20GMT	http://cdn.shopify.com/s/files/1/1306/8743/t/20/assets/modernizr.min.js?151	C:/Users/alvar/Desktop/prueba/cdn.shopify.com/s/files/1/1306/8743/t/20/assets/modernizr.mina8f1.js	(from https://www.memobottle.eu.com/pages/the-memobottle-story)
